Text,Date,Compound,Positive,Negative,Neutral,Tweets Ago
These medics ate Lego (and searched their 💩) to help little people who swallow things they shouldn't. https://t.co/bckBW17kSq,Wed Dec 05 17:01:08 +0000 2018,0.4019,0.137,0.863,0.0,1
"📺 From The ABC Murders to Les Misérables, @BBC_Culture picks the programmes worth seeing this month.
👉… https://t.co/0xPIPSbgDF",Wed Dec 05 14:00:19 +0000 2018,-0.4767,0.087,0.731,0.183,2
"RT @bbcthree: .@RuPaul’s Drag Race UK is coming soon to BBC Three.
 
Are you the UK’s next drag superstar? Apply to be on the show at https…",Wed Dec 05 13:11:01 +0000 2018,-0.4215,0.0,0.868,0.132,3
A Christmas gathering with a difference ❤️ https://t.co/udTuDYEF2s,Wed Dec 05 13:04:02 +0000 2018,0.0,0.0,1.0,0.0,4
"❌ Don't step on money in Thailand
❌ No swimming costumes in the city in Barcelona
❌ Don't pee in the sea in Portuga… https://t.co/m6BDFY39yh",Wed Dec 05 12:02:02 +0000 2018,-0.296,0.0,0.925,0.075,5
RT @bbcasiannetwork: “Life is too short – it can be taken away in a second” – Meet the women who are taking to the catwalk after cancer. ht…,Wed Dec 05 10:57:22 +0000 2018,-0.6597,0.0,0.845,0.155,6
"RT @bbcthree: Start your engines, @RuPaul's Drag Race UK is coming soon to BBC Three. https://t.co/7DkmvyFEd5",Wed Dec 05 10:18:13 +0000 2018,-0.2263,0.0,0.888,0.112,7
"""A little superstar""

This four-year-old girl called 999 when her mum started having a seizure. https://t.co/uHiehYI3V9",Wed Dec 05 09:01:06 +0000 2018,0.0,0.0,1.0,0.0,8
"🍳 We’ve all heard that healthier, fitter people don’t skip breakfast. 

But does that mean breakfast makes us healt… https://t.co/ByeVRaWaSX",Wed Dec 05 08:02:02 +0000 2018,0.0,0.0,1.0,0.0,9
He's a VERY good boy ❤️🐶https://t.co/ufcKE2tsv8,Wed Dec 05 07:16:03 +0000 2018,0.6028,0.495,0.505,0.0,10
"Actress, @JameelaJamil says airbrushing is a crime against women and should be illegal.
👉 https://t.co/z8vpYw3jmi https://t.co/RVMhowxg9m",Tue Dec 04 20:09:06 +0000 2018,-0.7964,0.0,0.693,0.307,11
"What would a ""disabled version of Monopoly"" look like? 
@LostVoiceGuy has the answer... 
#LiveAtTheApollo https://t.co/5wL2vveiWy",Tue Dec 04 19:05:05 +0000 2018,0.3612,0.161,0.839,0.0,12
"Ever dreamt of living off grid, surrounded by the Atlantic Ocean, with a tractor for a company car? 🚜

Well, this t… https://t.co/1iyGqcTyjV",Tue Dec 04 17:58:04 +0000 2018,0.2732,0.095,0.905,0.0,13
🍽 How eating local and cutting out beef can help save our planet. https://t.co/l9vRQOsL1C,Tue Dec 04 17:03:05 +0000 2018,0.6597,0.263,0.67,0.067,14
"RT @BBCOne: Your first New Year's resolution? Watch this. 

#Luther. Starts New Year's Day at 9pm on @BBCOne. https://t.co/MDDuEagbfO",Tue Dec 04 15:21:32 +0000 2018,0.0,0.0,1.0,0.0,15
"RT @cbbc: Could you be the BBC’s next big TV and film expert? 📺🎥

👉👉 apply at https://t.co/aYYHSAz5GT 

#tv #television #film #movie @BBCFi…",Tue Dec 04 14:41:09 +0000 2018,0.0,0.0,1.0,0.0,16
A bank customer was tricked into transferring money by fraudsters who pretended to be responding to his angry Twitt… https://t.co/1aykCCjWrR,Tue Dec 04 14:03:05 +0000 2018,-0.8074,0.0,0.658,0.342,17
Meet the 11-year-old girl saving Lagos from waste. https://t.co/2jzxpNYvuy,Tue Dec 04 13:06:03 +0000 2018,-0.4215,0.0,0.741,0.259,18
"Even before the internet, cats captured the cultural imagination. 
📖😺 A new exhibition at the @BritishLibrary explo… https://t.co/ma9xDTF9Ie",Tue Dec 04 12:03:06 +0000 2018,0.0,0.0,1.0,0.0,19
"RT @BBCOne: A warren of rabbits battle for freedom with all the world against them.

The British classic #WatershipDown gets a new adaptati…",Tue Dec 04 10:35:00 +0000 2018,0.3818,0.163,0.736,0.101,20
"😂  If #EastEnders was set in the animal kingdom. 
(🔊 Sound on) https://t.co/Ak684v3ANw",Sun Dec 02 18:56:02 +0000 2018,0.4404,0.184,0.725,0.092,21
"Toulouse-Lautrec was a trailblazer for the lithography movement in Paris, and one of the earliest victims of celebr… https://t.co/HHW6jiRJEZ",Sun Dec 02 17:55:03 +0000 2018,-0.3182,0.0,0.881,0.119,22
"""Plastic is not that cheap. It comes at a price."" https://t.co/FD6xUHdrMa",Sun Dec 02 16:57:06 +0000 2018,0.0,0.0,1.0,0.0,23
"A woman whose disabling menstrual pain was dismissed as ""what happens to women"" says more needs to be done to diagn… https://t.co/fufa5jF0Mz",Sun Dec 02 16:05:02 +0000 2018,-0.7506,0.0,0.748,0.252,24
Pope Francis charmed as small boy interrupts general audience... and just wait for the moment his sister appears. https://t.co/y3ba694wlb,Sun Dec 02 13:06:06 +0000 2018,0.1779,0.135,0.762,0.103,25
🥧 This mince pie production line is getting us really excited for Christmas!! https://t.co/tTY2aBWFJV,Sun Dec 02 12:02:04 +0000 2018,0.5068,0.201,0.799,0.0,26
"The number of children women are having is continuing to decline, to a record low of 1.89, according to the @ONS.
👉… https://t.co/esk6He68WV",Sun Dec 02 11:07:05 +0000 2018,-0.2023,0.056,0.855,0.09,27
"🎁🎄From Mrs Brown's Boys to Luther, the BBC has a bumper box of festive treats for you on #Christmas this year.
👉… https://t.co/UL50EkOVDX",Sun Dec 02 10:07:02 +0000 2018,0.4588,0.125,0.875,0.0,28
"Get ready to fall in love with the 'painted wolves' of Zimbabwe in tonight's episode of #Dynasties on @BBCOne. 
👉… https://t.co/AmL32jPMYQ",Sun Dec 02 10:06:11 +0000 2018,0.7717,0.261,0.739,0.0,29
"A Husky named Sinatra has returned home after remarkable 2,200-mile adventure across America. https://t.co/1pN7GuTJxI",Sun Dec 02 09:01:02 +0000 2018,0.7096,0.349,0.651,0.0,30
"💌 A boy who sent a birthday card to his dad ""in heaven"" received a touching letter from the Royal Mail to say it ha… https://t.co/kZW0dHz6XV",Sat Dec 01 20:03:09 +0000 2018,0.8176,0.254,0.746,0.0,31
"Lions are just big kitty cats 🦁
#Dynasties https://t.co/OrqsCINsy7",Sat Dec 01 19:06:04 +0000 2018,0.0,0.0,1.0,0.0,32
"Coercive behaviour: How to tell if your partner's controlling you.
👉 https://t.co/ZxMZ5Fy8d8 https://t.co/hESKnE9OBA",Sat Dec 01 17:54:03 +0000 2018,0.0,0.0,1.0,0.0,33
"Meet Mike - the magpie that says, ""Merry Christmas!"" 🎁🎄🎅 https://t.co/91Kj6og4QX",Sat Dec 01 16:56:01 +0000 2018,0.5848,0.296,0.704,0.0,34
"""It was the worst night of my entire life."" 

That's how Liz Carlson describes finding 145 whales beached and dying… https://t.co/4v1UYCrVmR",Sat Dec 01 16:10:06 +0000 2018,-0.6249,0.0,0.83,0.17,35
"RT @BBCOne: With a hop, skip and a jump a new adaptation of the classic #WatershipDown comes to BBC One this Christmas starring James McAvo…",Sat Dec 01 16:09:16 +0000 2018,0.0,0.0,1.0,0.0,36
RT @bbcstrictly: It's Musicals Week! Tonight 7.05pm @BBCOne 🤗#Strictly https://t.co/RkcEcrBd0S,Sat Dec 01 16:09:10 +0000 2018,0.0,0.0,1.0,0.0,37
"👶👫 A 1990 study found that babies chose mums to do cleaning and childcare, not dads.

Will 2018 babies react differ… https://t.co/5vu620aUy5",Sat Dec 01 15:06:04 +0000 2018,0.0,0.0,1.0,0.0,38
"""Highliners don't want adrenaline. It's a calm, peaceful state we're looking for."" 
(via @BBCThree) https://t.co/OjZs7E23nj",Sat Dec 01 15:03:05 +0000 2018,0.646,0.31,0.621,0.069,39
"The @WMO says there's a 75-80% chance of a weak El Niño forming within three months.
👉 https://t.co/e01a4zB3Nn https://t.co/ZJkjKaLZmf",Sat Dec 01 14:13:05 +0000 2018,-0.2263,0.087,0.786,0.127,40
"RT @bbcthree: *BRAND NEW KURUPT FM HEART MONITOR RIDDEM VIDEO*

Directed by Chabuddy G
Produced by Chabuddy G
Edited by Chabuddy G https://…",Wed Nov 28 12:30:58 +0000 2018,0.0,0.0,1.0,0.0,41
"Ghanaians take great pride in making coffins that reflect the life, dreams, passions and status of the dead. 

Meet… https://t.co/z5dgV9dCEU",Wed Nov 28 12:02:05 +0000 2018,0.7964,0.391,0.473,0.136,42
RT @BBCOne: #Dynasties has given us some serious throwback memories to #TheLionKing 🦁 https://t.co/4NXCFVI1S8,Wed Nov 28 09:37:07 +0000 2018,-0.0772,0.0,0.915,0.085,43
"If you or someone you know has been affected by the issues in this film, then organisations that may be able to hel… https://t.co/7r2j59zp6Q",Wed Nov 28 09:28:12 +0000 2018,-0.1531,0.0,0.935,0.065,44
Depression doesn't discriminate. https://t.co/pLvBDyoJEk,Wed Nov 28 09:00:17 +0000 2018,-0.5719,0.0,0.448,0.552,45
"Deforestation of the Amazon rainforest in Brazil has hit its highest rate in a decade, according to official data.… https://t.co/NFWMzDE5gR",Wed Nov 28 08:10:06 +0000 2018,0.1779,0.086,0.914,0.0,46
"Is the future of our food supply under water?

#OurBluePlanet w/ @oceanx + @motemarinelab https://t.co/979x7KRNBx",Wed Nov 28 07:16:05 +0000 2018,0.0,0.0,1.0,0.0,47
"What goes on Instagram vs the rest of my camera roll 😳
#Dynasties https://t.co/hqqoNQRxZa",Tue Nov 27 19:56:04 +0000 2018,0.0,0.0,1.0,0.0,48
"It is NOT this turtle's day.
#Dynasties https://t.co/MYMwQgbCPx",Tue Nov 27 18:57:04 +0000 2018,0.0,0.0,1.0,0.0,49
😲 A small plane overshot its destination in Australia by almost 50km (30 miles) after its pilot fell asleep in the… https://t.co/vBPLMlcoqs,Tue Nov 27 18:08:03 +0000 2018,0.3818,0.11,0.89,0.0,50
"RT @BBCEarth: Ladies, if he:

- never rings you first
- makes you do all the work
- never gets a hair cut
- hunts buffalo on the plains of…",Tue Nov 27 18:00:01 +0000 2018,0.2057,0.07,0.93,0.0,51
"""Touchdown confirmed""
High-fives and special handshakes after @NASA successfully lands InSight robot on #Mars.… https://t.co/Y6XXTDrq24",Tue Nov 27 17:00:05 +0000 2018,0.7096,0.312,0.688,0.0,52
"RT @bbcweather: Here in the UK our days get 'longer' again in little under a month🎉

In Tromsø (Norway) however ...
- Only 28mins of daylig…",Tue Nov 27 14:58:06 +0000 2018,0.0,0.0,1.0,0.0,53
"✨🚙 'If you could drive to the stars, you’d be there in an hour.'

7 seriously stellar space statistics.
👉… https://t.co/XADs0vxh4X",Tue Nov 27 14:00:17 +0000 2018,-0.1779,0.0,0.918,0.082,54
"RT @BBCOne: Every family has secrets. 

It’s just that some secrets are bigger than others. 

#RuthWilson stars as her own grandmother in #…",Tue Nov 27 13:36:36 +0000 2018,0.0,0.0,1.0,0.0,55
"If you or someone you know has been affected by the issues in this film, then organisations that may be able to hel… https://t.co/7V9yKXvIxm",Tue Nov 27 13:08:27 +0000 2018,-0.1531,0.0,0.935,0.065,56
"Abby and Lilly's dad Rick took his own life in 2014.

This summer camp helps the girls with their grief, and gives… https://t.co/ZKNQYXsJND",Tue Nov 27 12:58:05 +0000 2018,-0.1531,0.097,0.784,0.119,57
"🌈 Ever seen a rainbow swamp? 

Natural oils create a rainbow effect in First Landing State Park, Virginia, US.
👉… https://t.co/70ntjfJUWx",Tue Nov 27 12:03:03 +0000 2018,0.5574,0.213,0.787,0.0,58
RT @bbcwritersroom: Mrs Wilson - Writing the story for the screen. We spoke to #screenwriter @AnnaSymon about creating the new #drama based…,Tue Nov 27 10:59:52 +0000 2018,0.296,0.099,0.901,0.0,59
RT @BBCBodyPositive: Our main man @HussainsHouse dropped an impromptu freestyle for us after his recent #AMA. He got lyrical around mental…,Tue Nov 27 10:57:43 +0000 2018,0.1779,0.078,0.922,0.0,60
"A KILLER surprise! 🐳
#Dynasties https://t.co/MLf6YcqgVR",Thu Nov 22 19:06:05 +0000 2018,-0.6399,0.184,0.35,0.466,61
"❤️ It's not every day that you come across a man and his BFF (buffalo friend forever).
👉 https://t.co/s5oscIpiUf https://t.co/3FnxLwltOA",Thu Nov 22 17:56:07 +0000 2018,0.8331,0.272,0.728,0.0,62
"RT @BBCBodyPositive: What's the secret to a healthy relationship 🤔💙? 

Two of our faves, @theslumflower and #EmilyBador, spill the tea on w…",Thu Nov 22 17:54:18 +0000 2018,0.4019,0.119,0.881,0.0,63
💘 How salt met pepper... https://t.co/SUJQCYQhad,Thu Nov 22 17:04:06 +0000 2018,0.0,0.0,1.0,0.0,64
"💍 Singapore's famous urban otters have delighted two British otter fans by photobombing their marriage proposal.
👉… https://t.co/tNHz0E8i7N",Thu Nov 22 14:02:04 +0000 2018,0.5106,0.163,0.837,0.0,65
"RT @BBCSport: We've got a very special musical line-up for #SPOTY 2018

🤩 @Palomafaith
🤩 @Lightning_Seeds
🤩 @FreyaRidings
🤩 @george_ezra

T…",Thu Nov 22 13:14:31 +0000 2018,0.4576,0.136,0.864,0.0,66
The pie that's *almost* too pretty to eat.  https://t.co/4DdV4oQlDj,Thu Nov 22 12:03:04 +0000 2018,0.4939,0.286,0.714,0.0,67
"RT @bbcsesh: Depression doesn't discriminate. Let's have each other's back 💪
@evrah_rose https://t.co/QAPZWxDQaV",Thu Nov 22 12:01:07 +0000 2018,-0.5719,0.0,0.778,0.222,68
RT @BBCWatchdog: It's an industry worth nearly £3bn but it is almost entirely unregulated! @Rylan looks into the world of cosmetic procedur…,Thu Nov 22 11:56:36 +0000 2018,0.1882,0.077,0.923,0.0,69
"RT @BBC6Music: One more sleep until #TShirtDay.

It couldn’t be simpler to get involved:

👕 Wear a T-Shirt by any act
📸 Tweet us a photo wi…",Thu Nov 22 10:05:21 +0000 2018,0.0,0.0,1.0,0.0,70
RT @bbcwritersroom: We caught up with @LukeJennings1 the #writer of the #KillingEve novels to find out about seeing his work adapted for th…,Thu Nov 22 09:57:07 +0000 2018,0.0,0.0,1.0,0.0,71
🏥🐘 India's first hospital for elephants has just opened it's doors. https://t.co/KDNbRnk4BS,Thu Nov 22 09:00:03 +0000 2018,0.0,0.0,1.0,0.0,72
Images like that of a polar bear on a melting ice field are iconic. But in terms of getting people to act on climat… https://t.co/wpkX9F21u6,Thu Nov 22 08:13:04 +0000 2018,0.1901,0.074,0.926,0.0,73
Einstein - but probably not the one you're thinking of... https://t.co/pm2AErsWh4,Thu Nov 22 07:15:02 +0000 2018,0.0,0.0,1.0,0.0,74
"At 17, rising star in British F4 Championship @BillyMonger lost both legs in a racing accident. But this didn’t sto… https://t.co/HyCjojhdHe",Wed Nov 21 19:12:03 +0000 2018,-0.1901,0.086,0.751,0.163,75
This video of Sir David Attenborough narrating @Adele's 'Hello' feels appropriate for #WorldHelloDay. https://t.co/jOONTfLuM8,Wed Nov 21 18:30:56 +0000 2018,0.0,0.0,1.0,0.0,76
"A dead sperm whale that washed ashore in Indonesia had nearly 6kg of plastic waste in its stomach, including 115 dr… https://t.co/JSSkky9ucw",Wed Nov 21 18:05:06 +0000 2018,-0.7964,0.0,0.728,0.272,77
"😆🚒 This parrot's impression of a fire alarm is so good, it even had firefighters fooled.
(🔊 on for this one) https://t.co/XYgMlBCbLS",Wed Nov 21 17:02:02 +0000 2018,-0.3197,0.179,0.562,0.26,78
"People who live in cold climates with less sunlight could be more likely to drink heavily, according to a study.
👉… https://t.co/2ZfpN39wr3",Wed Nov 21 14:02:02 +0000 2018,0.0,0.0,1.0,0.0,79
"📺 A young David Attenborough discusses the beginning of regular colour TV in Britain.

#WorldTVDay… https://t.co/vtnnsbxlq0",Wed Nov 21 13:05:01 +0000 2018,0.0,0.0,1.0,0.0,80
"RT @BBCOne: ""That was FAN.TAST.IC!"" - @CraigRevHorwood

Oh @theREALboyzone - you said you couldn't dance! You did #Strictly proud.

#CiN #C…",Fri Nov 16 21:15:15 +0000 2018,0.5696,0.17,0.83,0.0,81
"RT @BBCCiN: ""Evie told me she wanted to die. She wanted to give her heart to Feargus...to make Feargus better.""

This is Evie's story. 

Pl…",Fri Nov 16 21:01:47 +0000 2018,-0.5994,0.0,0.86,0.14,82
"RT @BBCOne: The Rickshaw Challenge has raised a massive £4,322,839. Congratulations to everyone involved. 🙌❤️ 

#CiN @bbctheoneshow #Childr…",Fri Nov 16 21:01:02 +0000 2018,0.6369,0.257,0.743,0.0,83
"😂🧘 Goes to yoga once...
#CiN #ChildrenInNeed https://t.co/cLfc4M0RLL",Fri Nov 16 20:56:46 +0000 2018,0.0,0.0,1.0,0.0,84
"RT @BBCCiN: Time for the first totaliser of the night...£14,361,881. An amazing start, thank you! ⭐ Watch live ➡ https://t.co/hAaQKI4Ebb #C…",Fri Nov 16 20:41:18 +0000 2018,0.7644,0.248,0.752,0.0,85
Coming up... @theREALboyzone take to the ballroom with @BBCStrictly. Who'll take out the #Pudsey Glitterball Trophy… https://t.co/7D04c4nF5G,Fri Nov 16 20:40:27 +0000 2018,0.0,0.0,1.0,0.0,86
"RT @BBCCiN: ""She's such a lovely person. She just wants to make my boys happy.""

This is Francesca's story.

To support amazing people like…",Fri Nov 16 20:27:21 +0000 2018,0.8834,0.34,0.66,0.0,87
"RT @BBCOne: How fab were the @BBCEastEnders cast in their Disney medley? ❤️

@BBCCiN #CiN #ChildrenInNeed https://t.co/h04oopZ70N",Fri Nov 16 20:18:21 +0000 2018,0.4588,0.15,0.85,0.0,88
"💕 When you and your bestie rock up in matching outfits without planning.

#CiN @BBCDoctorWho @BBCCiN https://t.co/2sP3EugCXh",Fri Nov 16 20:16:06 +0000 2018,0.0,0.0,1.0,0.0,89
"🙌 A shining, shimmering, splendid performance from @BBCEastEnders!
#CiN https://t.co/Q3xvLj48EP",Fri Nov 16 20:10:46 +0000 2018,0.6239,0.313,0.687,0.0,90
🎬💫 Coming up... @MrDDyer and the cast of @BBCEastEnders spread some movie magic across Albert Square with a Disney… https://t.co/ifavNIpopx,Fri Nov 16 19:55:02 +0000 2018,0.0,0.0,1.0,0.0,91
"RT @BBCCiN: ""I do get sad but Willow helps me. I feel not scared anymore.""

This is Sam's story, told by @LittleMix.

Please give what you…",Fri Nov 16 19:51:39 +0000 2018,0.8131,0.291,0.646,0.063,92
"SURPRISE!! 😯🎉 
Watch Anna's tour of the @BBCDoctorWho set get kindly interrupted by the cast. 👀
#CiN https://t.co/SzRnKlWpN0",Fri Nov 16 19:44:25 +0000 2018,0.6616,0.278,0.63,0.092,93
"#CiN are ready to ROCK! 🤘🎸 
Tune into @BBCOne now. https://t.co/AY3xuy1oFj",Fri Nov 16 19:36:38 +0000 2018,0.4199,0.218,0.782,0.0,94
"RT @BBCCiN: 5 MINS. KETTLES ON.
PLACES PEOPLE!!

Watch live ➡ https://t.co/hAaQKI4Ebb #CiN
@BBCOne &amp; @BBCiPlayer"" https://t.co/CznsjEHq8e",Fri Nov 16 19:25:47 +0000 2018,0.0,0.0,1.0,0.0,95
"RT @BBCCiN: ""@TheREALBoyzone are massive...buy they've never faced the @BBCStrictly ballroom""

#Strictly choreographer @mr_njones has the l…",Fri Nov 16 18:18:22 +0000 2018,0.0,0.0,1.0,0.0,96
"RT @BBCCiN: RT if you love the Pudsey emoji #CiN

RT if you like the Pudsey emoji #CiN

RT if you don't like it, just RT #CiN https://t.co/…",Fri Nov 16 18:07:18 +0000 2018,0.8481,0.269,0.731,0.0,97
RT @bbccomedy: This Christmas we are celebrating the 20th anniversary of Goodness Gracious Me. Click here to pick your favourite sketch: ht…,Fri Nov 16 17:47:18 +0000 2018,0.8834,0.352,0.648,0.0,98
"RT @bbcasiannetwork: It’s 20 years since @PanjabiMC1’s 'Legalised' was released!

Why is it ""the definitive sound of British Asian Music""?…",Fri Nov 16 17:30:27 +0000 2018,0.0,0.0,1.0,0.0,99
"Tonight's the night! 

❤️🐻 Get your ears on and join us from 7.30pm on @BBCOne or @BBCiPlayer.
#ChildrenInNeed #CiN https://t.co/5QsVaKFpwD",Fri Nov 16 17:07:05 +0000 2018,0.3595,0.116,0.884,0.0,100
You've been getting ready for this all week. The CBS Tuesday night lineup starts now. https://t.co/AvK8sZQQnY,Wed Dec 05 01:00:00 +0000 2018,0.3612,0.143,0.857,0.0,1
"The holidays are a time for deer friends, which is why you can stream Robbie the Reindeer's ""Hooves of Fire"" and ""L… https://t.co/3KtQN3goMp",Tue Dec 04 23:37:49 +0000 2018,0.5106,0.21,0.701,0.089,2
"Oh, hey. The CBS Monday night lineup starts now. https://t.co/I035PnKLII",Tue Dec 04 01:00:00 +0000 2018,0.0,0.0,1.0,0.0,3
".@llcoolj will host #Home4Holidays - The 20th Anniversary, our annual holiday special raising awareness of adoption… https://t.co/qHSB5Xf9CP",Mon Dec 03 20:50:32 +0000 2018,0.6597,0.278,0.722,0.0,4
"RT @CBSAllAccess: Who's ready to see @JohnTheCho in #TheTwilightZone? 🙋‍♀️🙋‍♂️ Cho is joining @JacobTremblay and @Allison_Tolman in the ""Wu…",Mon Dec 03 19:36:44 +0000 2018,0.3612,0.122,0.878,0.0,5
"RT @CBSThisMorning: Only on @cbsthismorning, we'll announce nominees for the 61st #GRAMMY awards. We'll reveal the nominees in the top cate…",Mon Dec 03 18:44:59 +0000 2018,0.5859,0.202,0.798,0.0,6
"The thunder rolled into Notre Dame Stadium as @garthbrooks lit up the stage for 85,000 of his biggest fans. ⚡️ Watc… https://t.co/L3lPPmyOyr",Mon Dec 03 18:00:00 +0000 2018,0.0,0.0,1.0,0.0,7
Thank you all for watching! Goodnight. 🤠 #GARTHAtND https://t.co/mMiz2530vg,Mon Dec 03 02:59:00 +0000 2018,0.4199,0.218,0.782,0.0,8
RT @CoachHows112: #GarthatND is amazing!!!! I’m singing every song on my couch!,Mon Dec 03 02:44:14 +0000 2018,0.0,0.0,1.0,0.0,9
"RT @garthbrooks: You guys are treating the music like it’s timeless! Thank YOU!!! love, g #GARTHatND",Mon Dec 03 02:33:41 +0000 2018,0.8852,0.464,0.536,0.0,10
RT @BabyBoss87: Even watching on tv I get chills! #GARTHatND,Mon Dec 03 02:30:19 +0000 2018,0.0,0.0,1.0,0.0,11
RT @LungFroRRT: Watching the absolute best ever!! The legend!! #GARTHatND,Mon Dec 03 02:23:27 +0000 2018,0.7482,0.374,0.626,0.0,12
"RT @garthbrooks: My favorite time is when it just comes down to the song and 85,000 voices! #AnsweredPrayers!!! love, g #GARTHatND https://…",Mon Dec 03 02:11:47 +0000 2018,0.8544,0.306,0.694,0.0,13
@paulwhittington @garthbrooks 👏👏👏👏👏,Mon Dec 03 02:01:44 +0000 2018,0.0,0.0,1.0,0.0,14
@amandahynds629 @BobSeger @garthbrooks 🙌🏼,Mon Dec 03 01:57:15 +0000 2018,0.0,0.0,1.0,0.0,15
Give it up for #GARTHAtND! What's been your favorite moment of the show so far? https://t.co/VUHHUL1sJc,Mon Dec 03 01:55:20 +0000 2018,0.5093,0.18,0.82,0.0,16
"RT @MasterMediaMind: To all performers, please take notes from @garthbrooks. This is how you entertain a crowd and put on a concert! 👏🏽❤️🤠#…",Mon Dec 03 01:44:59 +0000 2018,0.5983,0.205,0.795,0.0,17
"RT @garthbrooks: If YOU are watching the @NotreDame special with us, tweet me using #GARTHatND!!! If YOU were there, let’s see YOUR picture…",Mon Dec 03 01:28:12 +0000 2018,0.5538,0.14,0.86,0.0,18
"RT @garthbrooks: We’re still watching @60minutes where we’re at!! But,  as soon as #GARTHatND starts here, I will be tweeting with YOU!!! T…",Mon Dec 03 01:12:59 +0000 2018,0.0,0.0,1.0,0.0,19
RT @hamilton3889: I’ve seen Garth live 3 times and I have goosebumps watching him perform on TV rn 😅 so excited!! #GarthatND,Mon Dec 03 01:08:51 +0000 2018,0.7352,0.228,0.772,0.0,20
"Mark your calendars! Check out the time slots for new and returning comedies in 2019, including the premiere of… https://t.co/ovV8t5Zrhc",Wed Nov 28 17:56:05 +0000 2018,0.4574,0.136,0.864,0.0,21
"RT @ManWithAPlan: Got any plans on Monday, Feb. 4 at 8:30/7:30c? Now you do! Man With A Plan returns for Season 3! https://t.co/ApaDIkEaO3",Wed Nov 28 17:53:34 +0000 2018,0.0,0.0,1.0,0.0,22
"RT @FamCBS: This is one birthday you don't want to forget: #Fam premieres Thursday, January 10 at 9:30/8:30c on @CBS and @CBSAllAccess! htt…",Wed Nov 28 17:38:19 +0000 2018,0.1867,0.081,0.868,0.051,23
"@AndySwift Clear eyes, full horns, can't lose.",Wed Nov 28 04:19:14 +0000 2018,0.5938,0.493,0.507,0.0,24
"It’s not the holidays without him. #Rudolph the Red-Nosed Reindeer returns to CBS tonight at 8pm/7c, only on CBS.… https://t.co/XH6VPo7yrt",Tue Nov 27 21:00:00 +0000 2018,-0.2924,0.0,0.897,0.103,25
It's going to be a happy new year with all the new and returning reality programming premiering on CBS in 2019. Che… https://t.co/whYBoAfEyn,Tue Nov 27 17:25:08 +0000 2018,0.5719,0.15,0.85,0.0,26
Less than ONE week until country superstar @garthbrooks hits the stage for #GarthAtND! https://t.co/jcbJ1Xhcaw,Mon Nov 26 23:30:00 +0000 2018,0.0,0.0,1.0,0.0,27
@TMFChrisHill Color us intrigued. Or claymation us intrigued. https://t.co/siU1ribSPI,Mon Nov 26 22:48:13 +0000 2018,0.0,0.0,1.0,0.0,28
Get on your feet for this exciting news. GRAMMY® Award-winning singer-songwriter and actress @GloriaEstefan is host… https://t.co/OTkBa0ECXB,Mon Nov 26 19:49:21 +0000 2018,0.5789,0.19,0.81,0.0,29
