Text,Date,Compound,Positive,Negative,Neutral,Tweets Ago
LAST CHANCE to try 1 month of @CBSAllAccess for free. Use code: STREAMFREE https://t.co/q6yDZj5nGb https://t.co/xVhARlVRQP,Mon Nov 26 17:44:34 +0000 2018,0.7213,0.335,0.665,0.0,30
"Due to late #NFL game #CBS Sunday shows delayed ONLY in East/Central time zones. New Start Times:
#60Minutes 7:33pm… https://t.co/iH09babk5N",Mon Nov 26 00:39:51 +0000 2018,-0.2263,0.0,0.909,0.091,31
We want to know how you play your reindeer games. Tell or show us how you’ll watch holiday tradition #Rudolph the R… https://t.co/yVMWLo5Hse,Sun Nov 25 17:00:01 +0000 2018,0.6597,0.242,0.758,0.0,32
"All the action of your local teams on the gridiron, in your living room. It's the NFL on CBS and @CBSAllAccess. 🏈📺… https://t.co/8n6gKrl6vy",Sun Nov 25 15:00:01 +0000 2018,0.0,0.0,1.0,0.0,33
"When the holidays have your head going in every direction, CBS is always here for you. Have a holly, jolly, bobbly… https://t.co/WMxJkfDtfy",Sun Nov 25 00:00:00 +0000 2018,0.7096,0.237,0.763,0.0,34
"Sure, he sneaks down your chimney and leaves gifts under your tree every year, but what do you really know about hi… https://t.co/PrSgbSpdlk",Sat Nov 24 20:00:00 +0000 2018,0.1655,0.07,0.93,0.0,35
"#RobbieTheReindeer returns to CBS with two animated specials ""Hooves of Fire"" and ""Legend of the Lost Tribe."" Featu… https://t.co/93n3PdJUX9",Sat Nov 24 17:00:00 +0000 2018,-0.5719,0.0,0.783,0.217,36
"DVR ALERT for Viewers in select EAST/CENTRAL Time Zones, please note *possible* football delay for CBS shows on Sun… https://t.co/cjVtGlZtzM",Sat Nov 24 00:33:07 +0000 2018,0.4466,0.213,0.693,0.094,37
Stream hit shows &amp; more when you try 1 month FREE of @CBSAllAccess this Black Friday. Use code STREAMFREE.… https://t.co/smsX3i99tx,Fri Nov 23 23:00:00 +0000 2018,0.6166,0.183,0.817,0.0,38
"It’s that magical time of year when Frosty comes back to life with two holiday specials, #FrostyTheSnowman and Fros… https://t.co/v8W2h4dK5W",Fri Nov 23 17:00:01 +0000 2018,0.4019,0.124,0.876,0.0,39
"From all of us at CBS, we wish you and your loved ones a very happy Thanksgiving. https://t.co/OWZ6HpGV5h",Thu Nov 22 20:56:00 +0000 2018,0.8908,0.431,0.569,0.0,40
"A wave of congratulations to the cast and crew of @HawaiiFive0CBS on their 200th episode, airing tonight at 9/8c on… https://t.co/Vjt2U1E23S",Fri Nov 09 21:42:33 +0000 2018,0.5994,0.17,0.83,0.0,41
Get excited. The CBS Thursday night lineup starts now. https://t.co/u2fDkZfNpO,Fri Nov 09 01:00:01 +0000 2018,0.34,0.211,0.789,0.0,42
"@PghLesbian24 @WillAndGraceNBC @bigbangtheory @TheGoodPlaceNBC @MomCBS No pain, no gain. 👍 https://t.co/1x00Le9oI6",Fri Nov 09 00:24:16 +0000 2018,-0.5106,0.178,0.419,0.403,43
Unexpected. Provocative. Deceiving. #TellMeAStory is now streaming only on @CBSAllAccess: https://t.co/eMDuPnmOgz https://t.co/BGENm4Pon6,Thu Nov 08 23:07:15 +0000 2018,-0.34,0.0,0.821,0.179,44
The CBS Wednesday Night lineup starts now. https://t.co/6LxkrUy01Y,Thu Nov 08 01:00:00 +0000 2018,0.0,0.0,1.0,0.0,45
RT @CBSAllAccess: Guess who is officially fighting @TheGoodFight... Please join us in welcoming @MichaelSheen to #TheGoodFight Season 3 cas…,Wed Nov 07 22:43:45 +0000 2018,0.5994,0.31,0.586,0.105,46
".@CBSWatch really puts the ""ha"" in haute couture by dressing up the funny ladies of CBS. Check them out here:… https://t.co/rJ0XQZPUug",Wed Nov 07 21:43:38 +0000 2018,0.4404,0.127,0.873,0.0,47
.@CBSEveningNews' coverage of the #Midterms2018 starts now. #ElectionDay https://t.co/IbWXtQ4uWL,Wed Nov 07 01:00:00 +0000 2018,0.0,0.0,1.0,0.0,48
RT @colbertlateshow: TONIGHT we're LIVE for #ElectionNight: @jheil and @alexwagner from @SHO_TheCircus are here. Plus we chat with @patriot…,Wed Nov 07 00:45:10 +0000 2018,0.0,0.0,1.0,0.0,49
"RT @CBSEveningNews: MORE: @SalvantoCBS explains how CBS News' Decision Desk will characterize races as results come in; a ""toss-up"" is a cl…",Tue Nov 06 23:51:37 +0000 2018,0.0,0.0,1.0,0.0,50
RT @CBSEveningNews: Continuous live coverage of the midterm elections begins on our streaming network CBSN at 5 p.m. ET and continues with…,Tue Nov 06 22:23:40 +0000 2018,0.0,0.0,1.0,0.0,51
"Watch all the #Midterms2018 #ElectionDay results, analysis, and updates LIVE tonight starting at 8pm ET/7pm CT on C… https://t.co/ZyLHo3Mml4",Tue Nov 06 21:21:58 +0000 2018,0.0,0.0,1.0,0.0,52
"RT @MadamSecretary: You don't have to be #MadamSecretary to have a say in how the country is run. 🇺🇸 Today is #ElectionDay, so be sure to d…",Tue Nov 06 19:22:23 +0000 2018,0.6573,0.177,0.823,0.0,53
RT @thegoodfight: Midterms matter. Don't let Diane down — vote in your local elections today! #TheGoodFight 🇺🇸 https://t.co/y4ENxXUfLU,Tue Nov 06 18:26:47 +0000 2018,0.4926,0.208,0.792,0.0,54
"RT @MurphyBrownCBS: Voting is no joke, so be sure to get out there today and make your voice heard! #ElectionDay #MurphyBrown 🗳☑️ https://t…",Tue Nov 06 17:46:55 +0000 2018,0.4349,0.186,0.733,0.081,55
Boop. The CBS Monday night lineup starts now. https://t.co/XBbuFbswWT,Tue Nov 06 01:00:00 +0000 2018,0.0,0.0,1.0,0.0,56
RT @MadamSecretary: You don't have to serve #MadamSecretary to have a voice in our government! 🇺🇸 Take notes from @erichbergen and VOTE! ✔️…,Mon Nov 05 21:53:41 +0000 2018,0.5242,0.133,0.867,0.0,57
"RT @colbertlateshow: Join us tomorrow night as we go LIVE with @Stephenathome and his guests @alexwagner, @jheil and @hasanminhaj at 11:35/…",Mon Nov 05 21:27:21 +0000 2018,0.296,0.099,0.901,0.0,58
@Deptony526 @garthbrooks It's tradition!😊 https://t.co/dTNs5GoYPd,Mon Nov 05 19:24:26 +0000 2018,0.0,0.0,1.0,0.0,59
There are so many ways to make the season bright with CBS Holiday Specials. Find out when your traditional favorite… https://t.co/72Lb3dcg8B,Mon Nov 05 19:18:50 +0000 2018,0.6808,0.228,0.772,0.0,60
Time to march to the TV! #MichaelJacksonHalloween starts now on CBS and @cbsallaccess: https://t.co/izyMSOHp7l https://t.co/ZFIoRV0Rag,Sun Oct 21 00:00:00 +0000 2018,0.0,0.0,1.0,0.0,61
"It’s almost time for ""a thriller, thriller night!"" Here's how to watch #MichaelJacksonHalloween:… https://t.co/GTzLrjCHEf",Sat Oct 20 16:00:00 +0000 2018,0.2714,0.205,0.795,0.0,62
"DVR ALERT for Viewers in EAST/CENTRAL Time Zones, please note *possible* football delay for CBS shows on Sunday eve… https://t.co/6lTXMVb9Cd",Fri Oct 19 23:00:35 +0000 2018,0.4466,0.213,0.693,0.094,63
"BREAKING: CBS has given full-season orders to @GodFriendedMe, @MagnumPICBS and @TheNeighborhood for the 2018-2019 b… https://t.co/919bxqm673",Fri Oct 19 22:01:22 +0000 2018,0.0,0.0,1.0,0.0,64
"You know and love him as Sheldon on the @bigbangtheory and this weekend, Jim Parsons is Hay Man on… https://t.co/nQCCmOy4pf",Fri Oct 19 21:00:01 +0000 2018,0.6369,0.181,0.819,0.0,65
Take a peek into #MichaelJacksonHalloween before the special airs tomorrow at 8/7c! https://t.co/8v9He4sZUB,Fri Oct 19 18:00:02 +0000 2018,0.4574,0.214,0.786,0.0,66
RT @AmazingRaceCBS: Host of #AmazingRace @PhilKeoghan has a special #SpiritDay message to share. https://t.co/wsYGRtMZQg,Thu Oct 18 23:54:23 +0000 2018,0.5994,0.308,0.692,0.0,67
"RT @SEALTeamCBS: It’s okay to be who you are, no matter your background, race, religion, sexual orientation or gender identity! The cast of…",Thu Oct 18 23:51:35 +0000 2018,-0.126,0.129,0.785,0.086,68
RT @NCISLA: Join #NCISLA star @reneefsmith and stand against bullying for #SpiritDay. 💜 https://t.co/RSQ1lrDW3p,Thu Oct 18 23:46:50 +0000 2018,-0.4019,0.115,0.681,0.204,69
"RT @GodFriendedMe: It’s okay to be who you are, no matter your background, race, religion, sexual orientation or gender identity! We, the c…",Thu Oct 18 23:41:02 +0000 2018,-0.126,0.129,0.785,0.086,70
"RT @LifeInPiecesCBS: It’s okay to be who you are, no matter your background, race, religion, sexual orientation or gender identity! The cas…",Thu Oct 18 23:27:03 +0000 2018,-0.126,0.134,0.776,0.09,71
"RT @NCIS_CBS: It’s okay to be who you are, no matter your background, race, religion, sexual orientation or gender identity! @BrianDietzen…",Thu Oct 18 22:56:59 +0000 2018,-0.126,0.14,0.766,0.094,72
"RT @FBICBS: It’s okay to be who you are, no matter your background, race, religion, sexual orientation or gender identity! The cast of #FBI…",Thu Oct 18 22:46:18 +0000 2018,-0.126,0.124,0.793,0.083,73
"RT @ManWithAPlan: It’s okay to be who you are, no matter your background, race, religion, sexual orientation or gender identity! We, the ca…",Thu Oct 18 22:26:39 +0000 2018,-0.126,0.129,0.785,0.086,74
"RT @TheNeighborhood: It’s okay to be who you are, no matter your background, race, religion, sexual orientation or gender identity! We, the…",Thu Oct 18 22:10:28 +0000 2018,-0.126,0.134,0.776,0.09,75
RT @colbertlateshow: We are proud to join @glaad for #SpiritDay to take a stand against bullying. #LSSC 💜💜💜 https://t.co/BItV0My3sV,Thu Oct 18 21:47:07 +0000 2018,0.1027,0.219,0.62,0.161,76
"RT @instinctcbs: It’s okay to be who you are, no matter your background, race, religion, sexual orientation or gender identity! #Instinct p…",Thu Oct 18 21:35:45 +0000 2018,-0.126,0.134,0.776,0.09,77
"RT @MadamSecretary: It’s okay to be who you are, no matter your background, race, religion, sexual orientation or gender identity! The cast…",Thu Oct 18 20:57:54 +0000 2018,-0.126,0.134,0.776,0.09,78
"RT @MurphyBrownCBS: It’s okay to be who you are, no matter your background, race, religion, sexual orientation or gender identity! The cast…",Thu Oct 18 20:36:31 +0000 2018,-0.126,0.134,0.776,0.09,79
RT @letsmakeadeal: The #LMAD cast is rocking purple for #SpiritDay! Celebrate with them by replying with some 💜💜💜. https://t.co/kkSNlJDs9z,Thu Oct 18 19:58:51 +0000 2018,0.6114,0.182,0.818,0.0,80
"Now that @bigbangtheory is entering its last season, Kaley Cuoco admits to @latelateshow she's over the show's noto… https://t.co/xvhlMWBhSX",Thu Sep 20 23:17:19 +0000 2018,0.296,0.109,0.891,0.0,81
RT @HawaiiFive0CBS: It’s the big Five-0! 🎉 🌊 #H50 premiered on this day in 1968! Celebrate 50 years of Hawaii Five-0 with every season of b…,Thu Sep 20 21:38:21 +0000 2018,0.7896,0.212,0.788,0.0,82
RT @JordanPeele: 📺🌀 https://t.co/CygbVi4JFC,Thu Sep 20 16:47:26 +0000 2018,0.0,0.0,1.0,0.0,83
The @latelateshow and @JKCorden will never be good enough for @henrygolding's crazy rich mom.… https://t.co/xVmH5Iyfvs,Wed Sep 19 19:07:37 +0000 2018,-0.0531,0.176,0.588,0.236,84
RT @CBSThisMorning: Imagine receiving a digital friend request from someone claiming to be God. What would you do? The new @CBS drama @GodF…,Tue Sep 18 17:04:20 +0000 2018,0.6486,0.209,0.791,0.0,85
"RT @PriceIsRight: We're thrilled to be back with all new, fun, and exciting shows!!  We hope to give you another award winning season! HERE…",Mon Sep 17 22:01:52 +0000 2018,0.9642,0.527,0.473,0.0,86
RT @SalvationCBS: X marks the spot on the heart-stopping season finale of #SalvationCBS tonight at 9/8c on CBS &amp; CBS All Access: https://t.…,Mon Sep 17 21:41:20 +0000 2018,0.0,0.0,1.0,0.0,87
Waiting for tonight's @Elementary_CBS season finale like https://t.co/Ou8342vGT9,Mon Sep 17 19:18:37 +0000 2018,0.3612,0.263,0.737,0.0,88
"Due to an NFL overrun, the CBS Sunday lineup is delayed in the East/Central cities ONLY. New start times:… https://t.co/IypoJ0l16P",Sun Sep 16 23:48:59 +0000 2018,-0.2263,0.0,0.909,0.091,89
RT @CBSAllAccess: Sundays were made for NFL on CBS. 🏈💯 Stream NFL on CBS All Access live today: https://t.co/vsod8jGE7N https://t.co/co2528…,Sun Sep 16 14:33:46 +0000 2018,0.0,0.0,1.0,0.0,90
"What happens when a PTA mom steals nearly $100,000 from her daughter's school? Don't miss the #PinkCollarCrimes sea… https://t.co/Gjiy0pByaE",Sat Sep 15 16:00:01 +0000 2018,-0.4322,0.07,0.771,0.159,91
"RT @CBSAllAccess: No internet, no problem. You can now download and play your favorite shows on CBS All Access! 🙌 Learn how: https://t.co/y…",Fri Sep 14 18:22:59 +0000 2018,-0.2481,0.17,0.598,0.233,92
@PlaggemeyLee Mac's putting something together. 😉 https://t.co/6ww5HlV6Bx,Thu Sep 13 20:52:06 +0000 2018,0.0,0.0,1.0,0.0,93
This just in... https://t.co/QG3OYF6Rfv,Thu Sep 13 20:28:06 +0000 2018,0.0,0.0,1.0,0.0,94
RT @CBSAllAccess: Get excited! Stream original #MurphyBrown episodes for a limited time on CBS All Access before the @MurphyBrownCBS reviva…,Thu Sep 13 18:06:49 +0000 2018,0.4753,0.218,0.699,0.083,95
"This just in! The 54th #ACMawards will air LIVE from Las Vegas on Sunday, April 7, 2019 at 8/7c on CBS and… https://t.co/Q9e7qxe26l",Mon Sep 10 17:06:16 +0000 2018,0.0,0.0,1.0,0.0,96
"Due to an NFL overrun, CBS is delayed 17 mins in the following markets: Kansas City, Miami, Tampa, NOLA, New York,… https://t.co/9eXZ9mA1Xb",Sun Sep 09 23:36:09 +0000 2018,-0.2263,0.0,0.917,0.083,97
Are you ready for some football? 🏈 Stream your favorite NFL games LIVE on #CBSAllAccess today:… https://t.co/eHt8guHoyv,Sun Sep 09 14:00:00 +0000 2018,0.6705,0.256,0.744,0.0,98
An unforgettable night of inspiring stories and performances highlighting the 10 years of impact #StandUpToCancer c… https://t.co/8bp2XNKwfH,Sat Sep 08 16:20:43 +0000 2018,0.4215,0.149,0.851,0.0,99
The star-studded event is about to begin! Tune in now to watch #StandUpToCancer on CBS and @cbsallaccess. https://t.co/cD8TJuQBog,Sat Sep 08 00:00:00 +0000 2018,0.0,0.0,1.0,0.0,100
"Former Canadian PM Brian Mulroney: ""When George Bush was President of the United States of America, every single he… https://t.co/lhtnPd31hv",Wed Dec 05 17:10:15 +0000 2018,0.4215,0.128,0.872,0.0,1
"RT @CNNnewsroom: Former Canadian Prime Minister Brian Mulroney: “I believe that it will be said that in the life of this country, the Unite…",Wed Dec 05 16:55:58 +0000 2018,0.0,0.0,1.0,0.0,2
"RT @CNNPolitics: A young George H.W. Bush once wrote to wife Barbara, ""I love you, precious, with all my heart and to know that you love me…",Wed Dec 05 16:51:07 +0000 2018,0.9201,0.345,0.655,0.0,3
"Presidential historian Jon Meacham on George H.W. Bush: “His life code, as he said, was tell the truth. Don't blame… https://t.co/QGcRK49KAv",Wed Dec 05 16:46:55 +0000 2018,0.3182,0.103,0.897,0.0,4
"RT @CNNPolitics: “As Dana Carvey said, ‘The key to a Bush 41 impersonation is a Mister Rogers trying to be John Wayne,’” presidential histo…",Wed Dec 05 16:42:03 +0000 2018,0.0,0.0,1.0,0.0,5
"RT @CNNnewsroom: Former President George W. Bush greets the current and former presidents and first ladies at the funeral for his father, f…",Wed Dec 05 16:18:00 +0000 2018,-0.2263,0.064,0.837,0.1,6
"The Bush family, including former President George W. Bush, arrives at the Washington National Cathedral for the fu… https://t.co/2VoMPeD6HV",Wed Dec 05 16:11:23 +0000 2018,0.0,0.0,1.0,0.0,7
"Pres. Trump and first lady Melania Trump, former Pres. Obama and first lady Michelle Obama, former Pres. Clinton an… https://t.co/HAmIVC8FIW",Wed Dec 05 16:05:59 +0000 2018,0.0,0.0,1.0,0.0,8
President Trump and first lady Melania Trump arrive at the Washington National Cathedral for the state funeral of f… https://t.co/3nUFnuyLPr,Wed Dec 05 15:51:46 +0000 2018,-0.3612,0.0,0.884,0.116,9
Former President George H.W. Bush's funeral at Washington National Cathedral is set to begin at 11 a.m. ET. There w… https://t.co/pK5rxRtsze,Wed Dec 05 15:42:28 +0000 2018,-0.3612,0.0,0.889,0.111,10
The casket of former Pres. George H.W. Bush is carried down the steps of the US Capitol. It will now be taken a sho… https://t.co/E2nBbtQPDv,Wed Dec 05 15:32:12 +0000 2018,0.0,0.0,1.0,0.0,11
George H.W. Bush once asked if anyone would attend his memorial services https://t.co/ygIWwotKRt https://t.co/R4ps5mTy9K,Wed Dec 05 15:21:16 +0000 2018,0.0,0.0,1.0,0.0,12
Emails from top officials at the National Republican Congressional Committee were hacked during the 2018 midterm el… https://t.co/8gIQCF9NQy,Wed Dec 05 15:18:43 +0000 2018,-0.2263,0.088,0.78,0.132,13
This 7-year-old has earned more than $22 million this year and was named Forbes' highest-paid YouTube star.… https://t.co/EtmcRjUl1N,Wed Dec 05 15:10:00 +0000 2018,0.0,0.0,1.0,0.0,14
The 2018 Global Terrorism Index found that deaths resulting from terrorism decreased 27% worldwide last year -- but… https://t.co/lMr3FfyZfL,Wed Dec 05 15:08:33 +0000 2018,-0.8807,0.0,0.649,0.351,15
"President Trump ahead of George H.W. Bush's state funeral this morning: ""This is not a funeral, this is a day of ce… https://t.co/lhXMmTlJgL",Wed Dec 05 15:00:07 +0000 2018,-0.6124,0.0,0.792,0.208,16
German car executives met with President Trump as his administration considers putting new tariffs on foreign vehic… https://t.co/wywqrFsN3k,Wed Dec 05 14:56:31 +0000 2018,0.0,0.0,1.0,0.0,17
"Since bitcoin, the concept of blockchain has taken the world by storm. A New York start-up is now leveraging this t… https://t.co/tRWTS2fc3k",Wed Dec 05 14:53:38 +0000 2018,0.0,0.0,1.0,0.0,18
"It's long been illegal to throw snowballs in Severance, Colorado. Dane Best, 9, thought the law was ""silly,"" so he… https://t.co/VGM8utjMdU",Wed Dec 05 14:47:21 +0000 2018,0.1531,0.157,0.709,0.134,19
"CNN investigation prompts officials in Washington state, New York, Michigan and Georgia to ensure the preservation… https://t.co/Elyke95z8J",Wed Dec 05 14:40:00 +0000 2018,0.3818,0.14,0.86,0.0,20
A small but poignant protest was held in Sydney Wednesday in which women -- and some men -- left work early to dema… https://t.co/gWiOCjPR6D,Wed Dec 05 12:30:12 +0000 2018,-0.3612,0.0,0.898,0.102,21
Meet the engineer behind NASA's robotic arm for Mars https://t.co/RIzH8eyEeo https://t.co/RvEduaq9YR,Wed Dec 05 12:20:05 +0000 2018,0.0,0.0,1.0,0.0,22
"Chris Watts, the man who killed his pregnant wife and two children, has been transferred to a prison outside of Col… https://t.co/xK4oySmZex",Wed Dec 05 12:10:06 +0000 2018,-0.8316,0.0,0.709,0.291,23
The man at the center of an election fraud investigation in a North Carolina congressional race turned in nearly ha… https://t.co/LZcfzUzXxf,Wed Dec 05 12:00:39 +0000 2018,-0.5859,0.0,0.833,0.167,24
The hopeful signs of progress on peace with North Korea | By S. Nathan Park via @CNNOpinion https://t.co/ozOUpYhVp5 https://t.co/Qo6lOu5BPI,Wed Dec 05 11:58:59 +0000 2018,0.8625,0.39,0.61,0.0,25
"5 things for Wednesday:

- Mueller investigation
- Stocks
- Jamal Khashoggi 
- Somalia
- NYPD drones… https://t.co/I2hMMEqLdQ",Wed Dec 05 11:50:04 +0000 2018,0.0,0.0,1.0,0.0,26
President Donald Trump retweeted a conservative activist who claimed that protesters on the streets of Paris are ch… https://t.co/nZ7vPjmaJQ,Wed Dec 05 11:39:28 +0000 2018,-0.2263,0.0,0.899,0.101,27
Special counsel Robert Mueller told a federal court Tuesday that former Trump national security adviser Michael Fly… https://t.co/7vGebu4qr2,Wed Dec 05 11:37:25 +0000 2018,0.6249,0.254,0.746,0.0,28
"The family of Carla Stefaniak, a US citizen reported missing while on vacation in Costa Rica, has confirmed that a… https://t.co/y8vXtbgZiC",Wed Dec 05 11:30:09 +0000 2018,-0.296,0.0,0.896,0.104,29
From facial Pilates to full-body scrubs: An intro to K-beauty in Seoul https://t.co/Y4QOa8RPaW https://t.co/M3IHHGGimZ,Wed Dec 05 11:27:00 +0000 2018,0.0,0.0,1.0,0.0,30
This two-year-old needs some of the rarest blood in the world to survive https://t.co/TxgfpZwFen https://t.co/Pi98CwCugX,Wed Dec 05 11:20:05 +0000 2018,0.0,0.0,1.0,0.0,31
PETA says phrases like 'bring home the bacon' are comparable to racism and homophobia https://t.co/98kb8lxfat https://t.co/Tx272kug7m,Wed Dec 05 11:13:55 +0000 2018,-0.3818,0.121,0.68,0.199,32
National security adviser John Bolton says President Trump believes he should hold a second summit with Kim Jong Un… https://t.co/u2GBO4PUaE,Wed Dec 05 11:06:21 +0000 2018,0.34,0.118,0.882,0.0,33
"The New York Times says it has reviewed a draft report of lawyers' findings about ousted CBS CEO Les Moonves, which… https://t.co/urz6BvjvMs",Wed Dec 05 10:57:39 +0000 2018,0.0,0.0,1.0,0.0,34
Squirrel monkeys that were once in a nicotine addiction study by the US Food and Drug Administration have arrived a… https://t.co/Ly8tDqvjfc,Wed Dec 05 10:49:06 +0000 2018,0.0,0.0,1.0,0.0,35
"Former NFL running back Kareem Hunt was accused of kicking a man at a nightclub in Kansas City, Missouri, in Januar… https://t.co/9zghyNy8Qo",Wed Dec 05 10:40:32 +0000 2018,-0.296,0.0,0.896,0.104,36
Real or fake Christmas trees: Which is better for the environment? https://t.co/QWRNfK1oCd https://t.co/0JERg36PfK,Wed Dec 05 10:38:00 +0000 2018,-0.0516,0.171,0.647,0.182,37
Michelle Obama says Queen Elizabeth II told her that royal protocol is 'rubbish' https://t.co/OlXnXuhkzw https://t.co/UOXUMIsuxp,Wed Dec 05 10:31:54 +0000 2018,0.0,0.0,1.0,0.0,38
Australia wants to give government agencies the power to access encrypted messages on WhatsApp and iMessage https://t.co/4MuSZ0inPF,Wed Dec 05 10:26:46 +0000 2018,0.0,0.0,1.0,0.0,39
"This hotel spends an estimated $130,000 on gold leaf every year https://t.co/Mb0bilC7nl https://t.co/OpPnrh7NPZ",Wed Dec 05 10:22:00 +0000 2018,0.0,0.0,1.0,0.0,40
"The New York Times says it has reviewed a draft report of lawyers' findings about ousted CBS CEO Les Moonves, which… https://t.co/XIX3K6yodQ",Wed Dec 05 04:56:08 +0000 2018,0.0,0.0,1.0,0.0,41
"Grab, the most popular ride-hailing app in Southeast Asia, will end 2018 with $3 billion in new funds as it seeks t… https://t.co/m4bJErEsy7",Wed Dec 05 04:46:03 +0000 2018,0.4754,0.123,0.877,0.0,42
"President Trump, who declared over the weekend that he'd struck ""an incredible deal"" on trade with China, instead s… https://t.co/lEdIKf79bk",Wed Dec 05 04:31:05 +0000 2018,-0.25,0.0,0.905,0.095,43
"A New York screening of the Lifetime documentary ""Surviving R. Kelly"" was evacuated due to threats, attendees said https://t.co/CXXRoogzJ2",Wed Dec 05 04:16:06 +0000 2018,-0.1531,0.105,0.762,0.133,44
"One in five women report they are often the only woman, or one of the only women, in the room at work, according to… https://t.co/AN4UpqQn8V",Wed Dec 05 04:14:32 +0000 2018,0.0,0.0,1.0,0.0,45
RT @CNNTonight: Special counsel Robert Mueller says former Trump national security adviser Michael Flynn's early cooperation in Russia inve…,Wed Dec 05 04:09:32 +0000 2018,0.6249,0.231,0.769,0.0,46
The man at the center of an election fraud investigation in a North Carolina congressional race turned in nearly ha… https://t.co/ynOJRTaKCK,Wed Dec 05 04:01:05 +0000 2018,-0.5859,0.0,0.833,0.167,47
"Party season is upon us -- and while socializing with your co-workers may not be its highlight, here's why you shou… https://t.co/EQQQRFwqBg",Wed Dec 05 03:57:18 +0000 2018,0.169,0.109,0.809,0.082,48
Police in Cleveland didn't see surveillance video that appears to show former Kansas City Chiefs running back Karee… https://t.co/lcZ1fUzDJn,Wed Dec 05 03:56:05 +0000 2018,0.0,0.0,1.0,0.0,49
Comedian Kevin Hart announced that he's been selected to host the 2019 Academy Awards for the first time… https://t.co/jv69QFZJFJ,Wed Dec 05 03:52:45 +0000 2018,0.6808,0.248,0.752,0.0,50
Four men connected to the Panama Papers investigation have been indicted for their roles in allegedly defrauding th… https://t.co/AFm7GyJe6f,Wed Dec 05 03:51:06 +0000 2018,0.0,0.0,1.0,0.0,51
"In recent weeks, Homeland Security Secretary Kirstjen Nielsen has managed to build a rapport with President Trump o… https://t.co/sJ0XWlsswg",Wed Dec 05 03:49:04 +0000 2018,0.34,0.124,0.876,0.0,52
